point,delta,pred_std,predicted_W,sigma_sv_pct,sigma_ir_pct,sigma_onerun_wp,sigma_xi_wp,sigma_HR9,sigma_BB9
79,4.757878,0.533871,91.046315,1.49911,-1.499859,1.499984,1.499549,0.449597,1.498677
98,4.761458,0.537071,91.049895,1.499996,-1.499981,1.499996,1.499929,0.216153,1.499946
158,4.762731,0.539658,91.051168,1.499861,-1.499934,1.499996,1.499982,0.358644,1.499696
123,4.76422,0.541627,91.052657,1.499967,-1.499896,1.499999,1.49999,0.347926,1.499993
78,4.76705,0.544806,91.055487,1.499997,-1.5,1.499888,1.5,0.177354,1.499794
97,4.769586,0.54789,91.058023,1.499381,-1.499996,1.499994,1.49995,0.133698,1.49988
100,4.773199,0.550254,91.061636,1.49978,-1.499996,1.499999,1.499998,-0.318534,1.499815
119,4.775642,0.553227,91.064079,1.499999,-1.49998,1.499996,1.499795,-0.408405,1.49974
182,4.776046,0.556078,91.064483,1.5,-1.499976,1.499997,1.499938,-0.00098,1.499869
168,4.778436,0.557115,91.066873,1.499969,-1.49998,1.499932,1.499998,-0.421071,1.499993
141,4.78051,0.559734,91.068947,1.499997,-1.499995,1.499996,1.499853,-0.453661,1.499948
142,4.782123,0.56188,91.07056,1.499999,-1.49998,1.499996,1.499795,-0.49345,1.498826
52,4.784151,0.56451,91.072588,1.499805,-1.49999,1.499999,1.499989,-0.507018,1.499817
22,4.791061,0.568875,91.079498,1.499995,-1.499865,1.499997,1.49994,0.841024,1.499948
23,4.792136,0.575113,91.080573,1.499949,-1.499979,1.499996,1.499997,-0.624792,1.499951
19,4.795996,0.580359,91.084434,1.499958,-1.499994,1.499998,1.499984,-0.667566,1.499909
56,4.811164,0.582907,91.099601,1.499941,-1.499935,1.499996,1.499998,-0.674506,1.498771
179,4.812975,0.585244,91.101413,1.499954,-1.499989,1.499999,1.499983,-0.689704,1.499886
35,4.815888,0.588409,91.104325,1.499804,-1.499997,1.499999,1.499982,-0.845848,1.499817
26,4.81975,0.593835,91.108188,1.499896,-1.499933,1.499998,1.499988,-0.847272,1.499959
57,4.823311,0.598803,91.111749,1.499804,-1.499996,1.499997,1.499987,-0.854069,1.499993
166,4.825378,0.601684,91.113815,1.499949,-1.499984,1.499998,1.5,-0.859243,1.499982
138,4.826544,0.602927,91.114981,1.499949,-1.499997,1.499999,1.499997,-0.92637,1.499947
191,4.830771,0.606008,91.119208,1.499964,-1.499935,1.499999,1.499991,-1.413781,1.499942
160,4.830773,0.606009,91.11921,1.499964,-1.499935,1.499996,1.499997,-1.414724,1.499941
27,4.834186,0.610343,91.122624,1.499967,-1.499989,1.499996,1.499997,-1.497714,1.499941
81,4.834543,0.617178,91.12298,1.438427,-1.499022,1.499999,1.499773,-1.497619,1.499942
190,4.835997,0.617584,91.124434,1.499949,-1.499981,1.499998,1.499997,0.990641,1.499946
46,4.837956,0.620596,91.126393,1.499958,-1.499994,1.499998,1.499992,1.024785,1.499728
18,4.841415,0.626176,91.129853,1.499505,-1.499994,1.5,1.499991,1.12176,1.499875
33,4.845619,0.632227,91.134056,1.49999,-1.499977,1.499996,1.499992,1.131747,1.499979
37,4.847172,0.635274,91.135609,1.499885,-1.499987,1.499993,1.499996,1.257104,1.499989
32,4.862965,0.637213,91.151402,1.499828,-1.499996,1.499998,1.499944,1.308805,1.499965
43,4.865103,0.640537,91.15354,1.499951,-1.499871,1.499996,1.499994,1.355834,1.499894
128,4.868434,0.645883,91.156872,1.499858,-1.499996,1.499999,1.499982,1.460121,1.499483
21,4.868442,0.645887,91.156879,1.499861,-1.499934,1.499996,1.499982,1.456946,1.499696
1,4.889168,0.652419,91.177605,1.499864,-1.499933,1.499999,1.499988,1.465107,1.499959
