trial,delta,best_delta,predicted_W,sigma_sv_pct,sigma_ir_pct,sigma_onerun_wp,sigma_xi_wp,sigma_HR9,sigma_BB9
112,4.595026,4.595026,90.883463,1.344342,-1.092073,1.497479,1.016385,-1.189304,0.059194
113,4.586343,4.595026,90.874781,1.490595,-1.091143,1.484528,1.032702,-1.183457,0.015837
114,4.463675,4.595026,90.752112,1.498144,-1.09828,1.392937,0.992373,-1.249633,0.025332
115,4.63577,4.63577,90.924207,1.341693,-1.424303,1.473503,1.092972,-1.188172,-0.075847
116,4.664728,4.664728,90.953166,1.094029,-1.449321,1.497555,1.199998,-1.34802,-0.068352
117,4.39634,4.664728,90.684778,0.321566,-1.421587,1.372782,1.123869,-1.389115,-0.071337
118,3.375112,4.664728,89.663549,1.104807,-1.436219,1.290057,1.204692,-1.172936,-0.226269
119,4.643354,4.664728,90.931791,1.346815,-1.297086,1.494824,1.096797,-1.362363,0.044656
120,4.645358,4.664728,90.933796,1.349614,-1.351774,1.486918,1.091894,-1.348724,0.056549
121,4.625895,4.664728,90.914332,1.19263,-1.330421,1.491425,1.075683,-1.336753,0.04747
122,4.646131,4.664728,90.934569,1.341139,-1.357956,1.497431,1.07739,-1.37157,-0.123313
123,4.627355,4.664728,90.915793,1.191493,-1.341797,1.495574,1.086081,-1.36088,-0.120919
124,4.392448,4.664728,90.680886,1.319218,-1.35807,1.341557,1.083552,-1.348027,-0.133708
125,4.627269,4.664728,90.915706,1.176888,-1.312471,1.498401,1.087844,-1.405591,-0.065444
126,0.997787,4.664728,87.286224,1.192493,-1.338565,0.02586,1.199163,-1.423837,-0.339813
127,4.670834,4.670834,90.959272,1.360393,-1.453214,1.497717,1.079211,-1.498885,-0.071427
128,3.284734,4.670834,89.573171,1.359336,-1.451536,1.231467,1.110913,-1.312168,-0.054429
129,4.473416,4.670834,90.761853,1.131007,-1.25815,1.398181,1.065616,-1.200166,-0.206045
130,3.47446,4.670834,89.762898,1.04225,-1.398867,1.303586,1.167076,-1.396997,-0.379454
131,4.546166,4.670834,90.834603,1.363822,-1.318654,1.431488,1.027196,-1.496711,-0.103042
132,4.547201,4.670834,90.835638,1.361102,-1.307617,1.427855,1.060676,-1.48093,-0.120163
133,4.596472,4.670834,90.884909,1.172702,-1.208559,1.499561,1.066239,-1.324212,-0.266533
134,4.622772,4.670834,90.911209,1.196395,-1.234399,1.494365,1.187628,-1.29767,-0.271692
135,4.458932,4.670834,90.747369,1.18117,-1.233148,1.370673,1.196496,-1.305121,-0.247722
136,4.665035,4.670834,90.953472,1.082824,-1.499903,1.496925,1.259942,-1.223841,-0.496185
137,4.354851,4.670834,90.643288,1.088098,-1.489652,1.325548,1.286075,-1.366643,-0.454127
138,4.549878,4.670834,90.838315,1.024937,-1.402633,1.410137,1.315354,-1.244569,-0.279504
139,3.336717,4.670834,89.625154,0.92516,-1.384606,1.274812,1.249282,-1.151525,-0.580717
140,4.580411,4.670834,90.868848,1.145017,-1.451863,1.446602,1.099755,-1.326423,-0.052083
141,4.373013,4.670834,90.66145,0.983257,-1.27491,1.34676,1.156692,-1.436798,-0.168244
142,4.573191,4.670834,90.861628,1.152351,-1.471936,1.436998,1.103283,-1.297552,-0.040539
143,1.483264,4.670834,87.771702,1.190524,-1.427455,0.165298,1.188845,-1.226319,0.011771
144,4.615843,4.670834,90.904281,1.090026,-1.352209,1.498162,1.056936,-1.347506,-0.173679
145,4.336488,4.670834,90.624925,1.222888,-1.346157,1.49431,-0.233548,-1.392415,-0.351294
146,4.432981,4.670834,90.721419,1.094924,-1.197385,1.389774,1.035132,-1.086775,-0.48454
147,1.786268,4.670834,88.074705,1.412558,-1.288391,0.43434,1.243501,-1.254563,-0.163701
148,4.67732,4.67732,90.965757,1.335161,-1.373747,1.498208,1.32599,-1.354201,-0.643461
149,3.285972,4.67732,89.574409,1.336028,-1.379957,1.211248,1.322664,-1.435099,-0.608212
150,4.462735,4.67732,90.751173,1.050991,-1.231191,1.375714,1.358607,-1.378026,-0.780314
151,4.545921,4.67732,90.834358,1.209414,-1.321697,1.440791,1.162353,-1.328463,-0.698803
152,4.663078,4.67732,90.951516,1.312558,-1.489535,1.498994,1.089809,-1.184215,-0.289864
153,4.186443,4.67732,90.47488,1.294877,-1.495345,1.498045,-0.829232,-1.494944,-0.400208
154,4.683105,4.683105,90.971542,1.297291,-1.39064,1.499977,1.26534,-1.262995,-0.268668
155,4.532161,4.683105,90.820598,1.226084,-1.374789,1.397969,1.235886,-1.123277,-0.274765
156,4.30057,4.683105,90.589007,1.121768,-1.441631,1.320156,1.277169,-1.282356,-0.320046
157,4.545121,4.683105,90.833558,1.276173,-1.297762,1.432437,1.099798,-1.35141,-0.198247
158,4.539335,4.683105,90.827772,1.390201,-1.397861,1.357222,1.438881,-1.427046,-0.10152
159,4.532684,4.683105,90.821121,1.175714,-1.242463,1.436605,1.184332,-1.265318,-0.418488
160,3.387497,4.683105,89.675935,0.980871,-1.488499,1.278411,1.340181,-1.357783,-0.537091
161,4.536753,4.683105,90.82519,1.286144,-1.350702,1.442789,0.912265,-1.439459,-0.140013
162,4.603428,4.683105,90.891865,1.33329,-1.166681,1.494459,1.082989,-1.193127,-0.259679
163,4.478596,4.683105,90.767033,1.423776,-1.156823,1.384204,1.14267,-1.194466,-0.274716
164,4.586561,4.683105,90.874999,1.328507,-1.418767,1.450445,1.077665,-1.299556,-0.235329
165,4.660171,4.683105,90.948608,1.21398,-1.326828,1.496249,1.239018,-1.084981,-0.041925
166,4.660713,4.683105,90.94915,1.244916,-1.299828,1.498159,1.240636,-1.100403,-0.016469
167,0.608883,4.683105,86.89732,1.24396,-1.290487,-0.134444,1.243623,-1.104618,-0.043369
168,4.38777,4.683105,90.676207,1.114196,-1.348118,1.335917,1.380073,-1.257969,0.124271
169,4.54951,4.683105,90.837947,1.074505,-1.429536,1.394879,1.301533,-1.499297,-0.101511
170,4.597982,4.683105,90.88642,1.223766,-1.4932,1.431789,1.191287,-1.378684,-0.004599
171,3.554687,4.683105,89.843124,1.405412,-1.333034,1.304286,1.25565,-1.142599,0.06201
172,4.627936,4.683105,90.916373,1.30149,-1.262902,1.492416,1.127805,-1.2147,-0.176087
173,4.575659,4.683105,90.864096,1.287744,-1.262711,1.452528,1.148395,-1.047732,-0.141887
174,4.676788,4.683105,90.965225,1.373889,-1.375777,1.496653,1.209737,-1.235382,-0.066215
175,4.545673,4.683105,90.83411,1.380396,-1.451951,1.378455,1.217782,-1.213962,-0.034074
176,4.706796,4.706796,90.995233,1.451279,-1.386022,1.495468,1.336495,-1.267296,-0.07992
177,4.63782,4.706796,90.926257,1.466319,-1.416282,1.416715,1.430245,-1.091338,0.155256
178,4.614029,4.706796,90.902467,1.440228,-1.395159,1.405131,1.443309,-1.094268,-0.060948
179,4.496014,4.706796,90.784451,1.450666,-1.410156,1.352488,1.38589,-1.1373,0.141572
180,4.637379,4.706796,90.925817,1.361451,-1.497891,1.432286,1.329601,-1.244181,-0.006505
181,4.628132,4.706796,90.916569,1.383012,-1.495772,1.396477,1.467175,-1.036011,0.087572
182,4.623295,4.706796,90.911732,1.36057,-1.444861,1.417653,1.339456,-1.057637,0.191818
183,4.657722,4.706796,90.946159,1.44971,-1.467229,1.428854,1.438479,-1.222584,0.091222
184,4.453015,4.706796,90.741452,1.465049,-1.497449,1.334068,1.470104,-1.171528,0.084699
185,4.658273,4.706796,90.94671,1.385567,-1.499375,1.420114,1.492842,-1.236165,0.010094
186,4.620035,4.706796,90.908472,1.493821,-1.49558,1.392267,1.445807,-1.239236,0.00732
187,3.414589,4.706796,89.703027,1.398426,-1.418549,1.258804,1.373532,-1.020966,0.15475
188,4.642795,4.706796,90.931232,1.437368,-1.38428,1.417308,1.497044,-1.104199,0.089181
189,3.48255,4.706796,89.770987,1.450784,-1.389882,1.290585,1.48098,-1.137461,-0.6799
190,4.64466,4.706796,90.933097,1.496926,-1.419676,1.440662,1.330656,-1.255612,0.018149
191,4.634703,4.706796,90.923141,1.492236,-1.393764,1.429178,1.382381,-1.253494,0.003032
192,4.642375,4.706796,90.930812,1.422693,-1.445522,1.440007,1.31395,-1.19614,0.068679
193,4.639684,4.706796,90.928121,1.416567,-1.446653,1.434015,1.328478,-1.276851,0.099114
194,4.504886,4.706796,90.793323,1.431887,-1.441446,1.353569,1.402657,-1.128721,0.102704
195,0.363574,4.706796,86.652011,1.431405,-1.359332,-0.40281,1.297654,-1.276054,0.200869
196,-1.778088,4.706796,84.510349,1.496661,-1.37807,-1.068379,1.497617,-1.17155,0.057192
197,4.377725,4.706796,90.666163,-1.18532,-1.296621,1.421774,1.414161,-1.30733,0.152441
198,4.456437,4.706796,90.744875,1.393797,-1.431593,1.338963,1.306706,-1.424296,0.040433
199,4.63261,4.706796,90.921047,1.323683,-1.371568,1.438798,1.358138,-1.093803,0.118067
200,4.546618,4.706796,90.835055,1.415938,-1.438673,1.374627,1.285557,-1.213774,-0.033153
