player_id,name,Date,Home Tm,Away Tm,W,L,G,GS,SV,IP,H,R,ER,HR,BB,SO,game_ERA,game_WHIP
542888,Shawn Armstrong,2025-03-27,Texas Rangers,Boston Red Sox,0,0,1,0,0,0.2,0,0,0,0,0,1,0.0,0.0
543135,Nathan Eovaldi,2025-03-27,Texas Rangers,Boston Red Sox,0,0,1,1,0,6.0,3,2,2,1,0,9,3.0,0.5
676395,Robert Garcia,2025-03-27,Texas Rangers,Boston Red Sox,0,0,1,0,0,0.2,0,0,0,0,2,0,0.0,3.0
592426,Luke Jackson,2025-03-27,Texas Rangers,Boston Red Sox,0,1,1,0,0,0.1,2,3,3,1,1,1,81.0,9.0
455119,Chris Martin,2025-03-27,Texas Rangers,Boston Red Sox,0,0,1,0,0,1.1,1,0,0,0,0,2,0.0,0.75
542888,Shawn Armstrong,2025-03-28,Texas Rangers,Boston Red Sox,0,0,1,0,0,1.0,1,0,0,0,0,2,0.0,1.0
687847,Marc Church,2025-03-28,Texas Rangers,Boston Red Sox,0,0,1,0,0,0.1,1,0,0,0,1,0,0.0,6.0
592426,Luke Jackson,2025-03-28,Texas Rangers,Boston Red Sox,0,0,1,0,1,1.0,0,0,0,0,0,0,0.0,0.0
683004,Jack Leiter,2025-03-28,Texas Rangers,Boston Red Sox,1,0,1,1,0,5.0,5,1,1,0,1,4,1.8,1.2
571948,Hoby Milner,2025-03-28,Texas Rangers,Boston Red Sox,0,0,1,0,0,0.2,1,0,0,0,0,1,0.0,1.5
657097,Jacob Webb,2025-03-28,Texas Rangers,Boston Red Sox,0,0,1,0,0,1.0,0,0,0,0,0,0,0.0,0.0
642520,Gerson Garabito,2025-03-29,Texas Rangers,Boston Red Sox,0,0,1,0,0,2.0,2,0,0,0,0,2,0.0,1.0
676395,Robert Garcia,2025-03-29,Texas Rangers,Boston Red Sox,0,0,1,0,0,1.0,1,1,1,0,1,1,9.0,2.0
641816,Tyler Mahle,2025-03-29,Texas Rangers,Boston Red Sox,0,0,1,1,0,1.2,2,1,1,0,4,3,5.4,3.6
455119,Chris Martin,2025-03-29,Texas Rangers,Boston Red Sox,0,0,1,0,1,1.0,0,0,0,0,0,2,0.0,0.0
571948,Hoby Milner,2025-03-29,Texas Rangers,Boston Red Sox,1,0,1,0,0,1.1,1,0,0,0,1,1,0.0,1.5
657097,Jacob Webb,2025-03-29,Texas Rangers,Boston Red Sox,0,0,1,0,0,2.0,1,1,1,1,0,2,4.5,0.5
542888,Shawn Armstrong,2025-03-30,Texas Rangers,Boston Red Sox,1,0,1,0,0,1.0,1,2,1,0,1,1,9.0,2.0
676395,Robert Garcia,2025-03-30,Texas Rangers,Boston Red Sox,0,0,1,0,0,1.0,0,0,0,0,0,1,0.0,0.0
592426,Luke Jackson,2025-03-30,Texas Rangers,Boston Red Sox,0,0,1,0,1,1.0,1,0,0,0,1,1,0.0,2.0
455119,Chris Martin,2025-03-30,Texas Rangers,Boston Red Sox,0,0,1,0,0,1.0,1,0,0,0,1,2,0.0,2.0
594798,Jacob deGrom,2025-03-30,Texas Rangers,Boston Red Sox,0,0,1,1,0,5.0,2,0,0,0,2,6,0.0,0.8
