player_id,name,pos,Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,game_AVG,game_OBP,game_SLG,game_OPS
669394,Jake Burger,1B,2025-03-27,Texas Rangers,Boston Red Sox,4,3,1,0,0,0,0,0,1,0,0,0,0,0.0,0.25,0.0,0.25
666969,Adolis García,RF,2025-03-27,Texas Rangers,Boston Red Sox,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-03-27,Texas Rangers,Boston Red Sox,4,4,0,1,1,0,0,1,0,0,0,0,0,0.25,0.25,0.5,0.75
673962,Josh Jung,3B,2025-03-27,Texas Rangers,Boston Red Sox,4,4,0,2,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0
694671,Wyatt Langford,LF,2025-03-27,Texas Rangers,Boston Red Sox,4,3,0,1,0,0,0,0,1,0,0,0,0,0.333,0.5,0.333,0.833
592626,Joc Pederson,1B,2025-03-27,Texas Rangers,Boston Red Sox,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
607680,Kevin Pillar,CF,2025-03-27,Texas Rangers,Boston Red Sox,3,3,1,2,0,0,0,1,0,0,0,0,0,0.667,0.667,0.667,1.334
608369,Corey Seager,SS,2025-03-27,Texas Rangers,Boston Red Sox,4,4,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
543760,Marcus Semien,2B,2025-03-27,Texas Rangers,Boston Red Sox,4,4,0,1,0,0,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5
669701,Josh Smith,SS,2025-03-27,Texas Rangers,Boston Red Sox,3,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-03-28,Texas Rangers,Boston Red Sox,3,3,1,1,1,0,0,1,0,1,0,0,0,0.333,0.333,0.667,1.0
666969,Adolis García,RF,2025-03-28,Texas Rangers,Boston Red Sox,4,2,0,0,0,0,0,0,2,0,1,0,0,0.0,0.5,0.0,0.5
641680,Jonah Heim,C,2025-03-28,Texas Rangers,Boston Red Sox,3,3,2,2,0,0,2,2,0,0,0,0,0,0.667,0.667,2.667,3.334
673962,Josh Jung,3B,2025-03-28,Texas Rangers,Boston Red Sox,3,3,0,1,0,0,0,1,0,0,0,0,0,0.333,0.333,0.333,0.666
694671,Wyatt Langford,LF,2025-03-28,Texas Rangers,Boston Red Sox,4,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
592626,Joc Pederson,1B,2025-03-28,Texas Rangers,Boston Red Sox,3,3,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
607680,Kevin Pillar,CF,2025-03-28,Texas Rangers,Boston Red Sox,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
608369,Corey Seager,SS,2025-03-28,Texas Rangers,Boston Red Sox,4,4,0,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
543760,Marcus Semien,2B,2025-03-28,Texas Rangers,Boston Red Sox,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
669701,Josh Smith,SS,2025-03-28,Texas Rangers,Boston Red Sox,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
665750,Leody Taveras,CF,2025-03-28,Texas Rangers,Boston Red Sox,3,2,0,1,0,0,0,0,1,1,1,0,0,0.5,0.667,0.5,1.167
669394,Jake Burger,1B,2025-03-29,Texas Rangers,Boston Red Sox,4,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25
677649,Ezequiel Duran,SS,2025-03-29,Texas Rangers,Boston Red Sox,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
666969,Adolis García,RF,2025-03-29,Texas Rangers,Boston Red Sox,4,3,1,3,2,0,1,3,0,0,0,0,1,1.0,1.0,2.667,3.667
641680,Jonah Heim,C,2025-03-29,Texas Rangers,Boston Red Sox,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
694671,Wyatt Langford,LF,2025-03-29,Texas Rangers,Boston Red Sox,4,4,1,1,0,0,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5
592626,Joc Pederson,1B,2025-03-29,Texas Rangers,Boston Red Sox,4,2,0,0,0,0,0,0,1,1,0,0,0,0.0,0.333,0.0,0.333
608369,Corey Seager,SS,2025-03-29,Texas Rangers,Boston Red Sox,4,4,1,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
543760,Marcus Semien,2B,2025-03-29,Texas Rangers,Boston Red Sox,4,4,0,1,0,0,0,1,0,1,0,0,0,0.25,0.25,0.25,0.5
669701,Josh Smith,SS,2025-03-29,Texas Rangers,Boston Red Sox,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
665750,Leody Taveras,CF,2025-03-29,Texas Rangers,Boston Red Sox,3,3,1,1,0,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666
669394,Jake Burger,1B,2025-03-30,Texas Rangers,Boston Red Sox,3,3,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
677649,Ezequiel Duran,SS,2025-03-30,Texas Rangers,Boston Red Sox,3,2,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0
666969,Adolis García,RF,2025-03-30,Texas Rangers,Boston Red Sox,3,3,1,1,0,0,1,1,0,0,0,0,0,0.333,0.333,1.333,1.666
543309,Kyle Higashioka,C,2025-03-30,Texas Rangers,Boston Red Sox,3,3,0,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
694671,Wyatt Langford,LF,2025-03-30,Texas Rangers,Boston Red Sox,4,4,1,2,0,0,1,1,0,0,0,0,0,0.5,0.5,1.25,1.75
680716,Jonathan Ornelas,SS,2025-03-30,Texas Rangers,Boston Red Sox,3,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
592626,Joc Pederson,1B,2025-03-30,Texas Rangers,Boston Red Sox,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
543760,Marcus Semien,2B,2025-03-30,Texas Rangers,Boston Red Sox,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
665750,Leody Taveras,CF,2025-03-30,Texas Rangers,Boston Red Sox,3,3,0,1,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666
669394,Jake Burger,1B,2025-03-31,Cincinnati Reds,Texas Rangers,4,4,1,1,0,0,1,2,0,1,0,0,0,0.25,0.25,1.0,1.25
677649,Ezequiel Duran,SS,2025-03-31,Cincinnati Reds,Texas Rangers,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
666969,Adolis García,RF,2025-03-31,Cincinnati Reds,Texas Rangers,2,2,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5
641680,Jonah Heim,C,2025-03-31,Cincinnati Reds,Texas Rangers,4,4,0,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
694671,Wyatt Langford,LF,2025-03-31,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
680716,Jonathan Ornelas,SS,2025-03-31,Cincinnati Reds,Texas Rangers,1,0,0,0,0,0,0,0,1,0,0,0,0,,1.0,,1.0
592626,Joc Pederson,1B,2025-03-31,Cincinnati Reds,Texas Rangers,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
607680,Kevin Pillar,CF,2025-03-31,Cincinnati Reds,Texas Rangers,2,2,1,1,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5
608369,Corey Seager,SS,2025-03-31,Cincinnati Reds,Texas Rangers,3,2,0,0,0,0,0,0,1,1,0,0,0,0.0,0.333,0.0,0.333
543760,Marcus Semien,2B,2025-03-31,Cincinnati Reds,Texas Rangers,4,3,0,0,0,0,0,0,1,2,0,0,0,0.0,0.25,0.0,0.25
669701,Josh Smith,SS,2025-03-31,Cincinnati Reds,Texas Rangers,4,3,1,0,0,0,0,0,1,1,0,0,0,0.0,0.25,0.0,0.25
665750,Leody Taveras,CF,2025-03-31,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-04-01,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
666969,Adolis García,RF,2025-04-01,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-04-01,Cincinnati Reds,Texas Rangers,4,2,0,0,0,0,0,0,2,0,0,0,0,0.0,0.5,0.0,0.5
694671,Wyatt Langford,LF,2025-04-01,Cincinnati Reds,Texas Rangers,4,4,1,2,0,0,1,1,0,0,0,0,0,0.5,0.5,1.25,1.75
592626,Joc Pederson,1B,2025-04-01,Cincinnati Reds,Texas Rangers,4,2,0,1,1,0,0,0,1,0,0,0,1,0.5,0.75,1.0,1.75
608369,Corey Seager,SS,2025-04-01,Cincinnati Reds,Texas Rangers,4,3,0,0,0,0,0,0,1,0,0,0,0,0.0,0.25,0.0,0.25
543760,Marcus Semien,2B,2025-04-01,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
669701,Josh Smith,SS,2025-04-01,Cincinnati Reds,Texas Rangers,4,4,0,1,0,0,0,0,0,1,1,0,0,0.25,0.25,0.25,0.5
665750,Leody Taveras,CF,2025-04-01,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-04-02,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
677649,Ezequiel Duran,SS,2025-04-02,Cincinnati Reds,Texas Rangers,3,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
666969,Adolis García,RF,2025-04-02,Cincinnati Reds,Texas Rangers,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
641680,Jonah Heim,C,2025-04-02,Cincinnati Reds,Texas Rangers,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
694671,Wyatt Langford,LF,2025-04-02,Cincinnati Reds,Texas Rangers,4,3,0,0,0,0,0,0,1,1,0,0,0,0.0,0.25,0.0,0.25
592626,Joc Pederson,1B,2025-04-02,Cincinnati Reds,Texas Rangers,4,4,1,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5
543760,Marcus Semien,2B,2025-04-02,Cincinnati Reds,Texas Rangers,4,3,0,1,0,0,0,0,1,0,0,0,0,0.333,0.5,0.333,0.833
669701,Josh Smith,SS,2025-04-02,Cincinnati Reds,Texas Rangers,3,3,0,1,1,0,0,1,0,2,0,0,0,0.333,0.333,0.667,1.0
665750,Leody Taveras,CF,2025-04-02,Cincinnati Reds,Texas Rangers,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-04-04,Texas Rangers,Tampa Bay Rays,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
666969,Adolis García,RF,2025-04-04,Texas Rangers,Tampa Bay Rays,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-04-04,Texas Rangers,Tampa Bay Rays,3,3,1,1,1,0,0,1,0,1,0,0,0,0.333,0.333,0.667,1.0
694671,Wyatt Langford,LF,2025-04-04,Texas Rangers,Tampa Bay Rays,4,2,0,0,0,0,0,1,0,0,1,0,1,0.0,0.333,0.0,0.333
592626,Joc Pederson,1B,2025-04-04,Texas Rangers,Tampa Bay Rays,4,3,0,0,0,0,0,0,1,0,0,0,0,0.0,0.25,0.0,0.25
608369,Corey Seager,SS,2025-04-04,Texas Rangers,Tampa Bay Rays,4,3,0,1,0,0,0,0,1,1,0,0,0,0.333,0.5,0.333,0.833
543760,Marcus Semien,2B,2025-04-04,Texas Rangers,Tampa Bay Rays,4,4,1,1,0,0,0,1,0,1,0,0,0,0.25,0.25,0.25,0.5
669701,Josh Smith,SS,2025-04-04,Texas Rangers,Tampa Bay Rays,3,3,2,2,0,0,1,1,0,0,0,0,0,0.667,0.667,1.667,2.334
665750,Leody Taveras,CF,2025-04-04,Texas Rangers,Tampa Bay Rays,3,3,1,1,0,0,0,1,0,0,2,0,0,0.333,0.333,0.333,0.666
669394,Jake Burger,1B,2025-04-05,Texas Rangers,Tampa Bay Rays,4,4,1,1,0,0,1,3,0,2,0,0,0,0.25,0.25,1.0,1.25
666969,Adolis García,RF,2025-04-05,Texas Rangers,Tampa Bay Rays,4,2,1,0,0,0,0,0,1,0,1,0,1,0.0,0.5,0.0,0.5
641680,Jonah Heim,C,2025-04-05,Texas Rangers,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
543309,Kyle Higashioka,C,2025-04-05,Texas Rangers,Tampa Bay Rays,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
694671,Wyatt Langford,LF,2025-04-05,Texas Rangers,Tampa Bay Rays,4,3,2,1,0,0,1,2,1,1,0,0,0,0.333,0.5,1.333,1.833
592626,Joc Pederson,1B,2025-04-05,Texas Rangers,Tampa Bay Rays,3,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
607680,Kevin Pillar,CF,2025-04-05,Texas Rangers,Tampa Bay Rays,1,1,1,1,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,2.0
608369,Corey Seager,SS,2025-04-05,Texas Rangers,Tampa Bay Rays,4,4,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
543760,Marcus Semien,2B,2025-04-05,Texas Rangers,Tampa Bay Rays,4,3,1,1,0,0,1,1,1,2,0,0,0,0.333,0.5,1.333,1.833
669701,Josh Smith,SS,2025-04-05,Texas Rangers,Tampa Bay Rays,4,1,0,0,0,0,0,0,3,1,1,0,0,0.0,0.75,0.0,0.75
665750,Leody Taveras,CF,2025-04-05,Texas Rangers,Tampa Bay Rays,2,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
669394,Jake Burger,1B,2025-04-06,Texas Rangers,Tampa Bay Rays,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
666969,Adolis García,RF,2025-04-06,Texas Rangers,Tampa Bay Rays,4,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
641680,Jonah Heim,C,2025-04-06,Texas Rangers,Tampa Bay Rays,4,4,1,2,0,0,0,1,0,0,1,0,0,0.5,0.5,0.5,1.0
