year,team_id,team,W,L,G,RS,RA,home_wp,away_wp,onerun_wp,onerun_n,xi_wp,ERA,WHIP,K9,BB9,SV,SVO,BS,sv_pct,FIP,era_fip_diff,HR9,babip_against,go_ao,ir_pct,SB,CS,sb_pct,LOB,OPS,babip_off,SV_top1,Top1_SV_Ratio
2015,146,Miami Marlins,71,91,162,613,678,0.5061728395061729,0.3703703703703703,0.5227272727272727,44,0.6666666666666666,4.02,1.32,7.27,3.2,35,56,21,0.625,4.017,0.003,0.889,0.297,1.05,0.21,112,45,0.7133757961783439,1059,0.694,0.307,32,0.9142857142857143
2015,144,Atlanta Braves,67,95,162,573,760,0.5185185185185185,0.3086419753086419,0.6086956521739131,46,0.3076923076923077,4.41,1.41,7.25,3.47,44,70,26,0.6285714285714286,4.379,0.031,1.074,0.309,1.04,0.273,69,33,0.6764705882352942,1145,0.673,0.297,24,0.5454545454545454
2015,143,Philadelphia Phillies,63,99,162,626,809,0.4567901234567901,0.3209876543209876,0.3720930232558139,43,0.4,4.69,1.45,7.22,3.06,35,51,16,0.6862745098039216,4.44,0.25,1.197,0.319,1.01,0.322,88,32,0.7333333333333333,1066,0.685,0.299,17,0.4857142857142857
2015,138,St. Louis Cardinals,100,62,162,647,525,0.6790123456790124,0.5555555555555556,0.5818181818181818,55,0.5,2.94,1.25,8.17,2.93,62,77,15,0.8051948051948052,3.516,-0.576,0.756,0.302,1.19,0.266,69,38,0.6448598130841121,1152,0.715,0.303,48,0.7741935483870968
2015,134,Pittsburgh Pirates,98,64,162,697,596,0.654320987654321,0.5555555555555556,0.6792452830188679,53,0.5714285714285714,3.21,1.24,8.08,2.74,54,68,14,0.7941176470588235,3.397,-0.187,0.665,0.305,1.48,0.22,98,45,0.6853146853146853,1166,0.719,0.314,51,0.9444444444444444
2015,112,Chicago Cubs,97,65,162,689,608,0.6049382716049383,0.5925925925925926,0.6181818181818182,55,0.7222222222222222,3.36,1.15,8.81,2.51,48,67,19,0.7164179104477612,3.334,0.026,0.825,0.29,1.2,0.33,95,37,0.7196969696969697,1165,0.719,0.305,30,0.625
2015,158,Milwaukee Brewers,68,94,162,655,737,0.419753086419753,0.419753086419753,0.5,32,0.4444444444444444,4.28,1.36,7.9,3.24,40,53,13,0.7547169811320755,4.204,0.076,1.104,0.307,1.22,0.289,84,29,0.7433628318584071,1026,0.7,0.303,38,0.95
2015,113,Cincinnati Reds,64,98,162,640,754,0.419753086419753,0.3703703703703703,0.3829787234042553,47,0.2941176470588235,4.33,1.36,7.75,3.37,35,57,22,0.6140350877192983,4.273,0.057,1.096,0.301,1.08,0.322,134,38,0.7790697674418605,1148,0.706,0.29,33,0.9428571428571428
2015,119,Los Angeles Dodgers,92,70,162,667,595,0.6790123456790124,0.4567901234567901,0.4693877551020408,49,0.4,3.44,1.18,8.69,2.46,47,68,21,0.6911764705882353,3.441,-0.001,0.903,0.299,1.38,0.309,59,34,0.6344086021505376,1121,0.739,0.292,36,0.7659574468085106
2015,137,San Francisco Giants,84,78,162,696,627,0.5802469135802469,0.4567901234567901,0.4042553191489361,47,0.5454545454545454,3.72,1.23,7.26,2.69,41,56,15,0.7321428571428571,3.951,-0.231,0.966,0.285,1.15,0.209,93,36,0.7209302325581395,1130,0.732,0.313,38,0.926829268292683
2015,109,Arizona Diamondbacks,79,83,162,720,713,0.4814814814814814,0.4938271604938271,0.4545454545454545,44,0.5,4.04,1.33,7.46,3.07,44,65,21,0.676923076923077,4.248,-0.208,1.117,0.297,1.15,0.309,132,44,0.75,1153,0.738,0.316,30,0.6818181818181818
2015,135,San Diego Padres,74,88,162,650,731,0.4814814814814814,0.4320987654320987,0.5116279069767442,43,0.5833333333333334,4.09,1.31,8.7,3.22,41,58,17,0.7068965517241379,3.966,0.124,1.069,0.307,1.21,0.303,82,29,0.7387387387387387,1028,0.685,0.292,39,0.9512195121951219
2015,115,Colorado Rockies,68,94,162,737,844,0.4444444444444444,0.3950617283950617,0.4545454545454545,44,0.375,5.04,1.51,7.02,3.65,36,61,25,0.5901639344262295,4.598,0.442,1.155,0.323,1.33,0.3,97,43,0.6928571428571428,1016,0.747,0.313,25,0.6944444444444444
2016,111,Boston Red Sox,93,69,162,878,694,0.5802469135802469,0.5679012345679012,0.4545454545454545,44,0.6363636363636364,4.0,1.27,8.51,3.06,43,61,18,0.7049180327868853,4.024,-0.024,1.101,0.295,0.91,0.323,83,24,0.7757009345794392,1162,0.809,0.32,31,0.7209302325581395
2016,141,Toronto Blue Jays,89,73,162,759,666,0.5679012345679012,0.5308641975308642,0.4565217391304347,46,0.3076923076923077,3.78,1.23,8.1,2.84,43,66,23,0.6515151515151515,4.068,-0.288,1.129,0.283,1.13,0.27,54,24,0.6923076923076923,1120,0.756,0.289,36,0.8372093023255814
2016,110,Baltimore Orioles,89,73,162,744,715,0.6172839506172839,0.4814814814814814,0.5675675675675675,37,0.75,4.22,1.36,7.84,3.43,54,68,14,0.7941176470588235,4.337,-0.117,1.15,0.301,1.11,0.292,19,13,0.59375,1065,0.76,0.291,47,0.8703703703703703
2016,147,New York Yankees,84,78,162,680,702,0.5925925925925926,0.4444444444444444,0.6666666666666666,36,0.5714285714285714,4.16,1.26,8.78,2.8,48,64,16,0.75,4.22,-0.06,1.349,0.294,1.17,0.347,72,22,0.7659574468085106,1098,0.72,0.289,34,0.7083333333333334
2016,139,Tampa Bay Rays,68,94,162,672,713,0.4444444444444444,0.3950617283950617,0.325,40,0.5714285714285714,4.2,1.32,8.56,3.1,42,60,18,0.7,4.281,-0.081,1.325,0.3,0.85,0.283,60,37,0.6185567010309279,1060,0.733,0.293,37,0.8809523809523809
2016,114,Cleveland Indians,94,67,161,777,676,0.654320987654321,0.5125,0.5714285714285714,49,0.5,3.84,1.24,8.71,2.87,37,48,11,0.7708333333333334,3.936,-0.096,1.158,0.291,1.23,0.251,134,31,0.8121212121212121,1084,0.759,0.304,32,0.8648648648648649
2016,116,Detroit Tigers,86,75,161,750,721,0.5625,0.5061728395061729,0.6046511627906976,43,0.5555555555555556,4.24,1.32,7.76,2.91,47,66,19,0.7121212121212122,4.179,0.061,1.147,0.302,0.99,0.335,58,29,0.6666666666666666,1105,0.769,0.312,44,0.9361702127659575
2016,118,Kansas City Royals,81,81,162,675,712,0.5802469135802469,0.419753086419753,0.4791666666666667,48,0.7,4.21,1.35,8.04,3.23,41,60,19,0.6833333333333333,4.444,-0.234,1.288,0.301,1.0,0.272,121,35,0.7756410256410257,1049,0.712,0.309,27,0.6585365853658537
2016,145,Chicago White Sox,78,84,162,686,715,0.5555555555555556,0.4074074074074074,0.4423076923076923,52,0.5333333333333333,4.1,1.34,7.9,3.24,43,71,28,0.6056338028169014,4.298,-0.198,1.151,0.3,0.96,0.339,77,36,0.6814159292035398,1105,0.727,0.304,37,0.8604651162790697
2016,142,Minnesota Twins,59,103,162,722,889,0.3703703703703703,0.3580246913580246,0.3409090909090909,44,0.375,5.08,1.45,7.43,2.99,26,46,20,0.5652173913043478,4.591,0.489,1.378,0.32,1.02,0.356,91,32,0.7398373983739838,1124,0.737,0.3,17,0.6538461538461539
2016,140,Texas Rangers,95,67,162,765,757,0.654320987654321,0.5185185185185185,0.7659574468085106,47,0.5,4.37,1.37,7.2,3.33,56,73,17,0.7671232876712328,4.602,-0.232,1.254,0.293,1.1,0.291,99,36,0.7333333333333333,1038,0.755,0.298,38,0.6785714285714286
2016,136,Seattle Mariners,86,76,162,768,707,0.5432098765432098,0.5185185185185185,0.5,60,0.5294117647058824,4.0,1.28,8.14,2.84,49,74,25,0.6621621621621622,4.322,-0.322,1.316,0.294,0.99,0.296,56,28,0.6666666666666666,1099,0.756,0.297,25,0.5102040816326531
2016,117,Houston Astros,84,78,162,724,701,0.5308641975308642,0.5061728395061729,0.5283018867924528,53,0.5555555555555556,4.06,1.29,8.56,2.78,44,64,20,0.6875,3.876,0.184,1.11,0.308,1.13,0.333,102,44,0.6986301369863014,1086,0.736,0.298,15,0.3409090909090909
