player,role,situation_a,situation_b,metric,label,n_a,n_b,a_mean,b_mean,diff,cohens_d,u_p,t_p
Leiter,Starter,SO,Walk,hip_peak_dps,골반 피크 각속도 (XZ),6,5,841.6219653677131,865.8995215020108,-24.277556134297697,-0.14204597191827442,0.5367965367965368,0.812516128886146
Leiter,Starter,SO,Walk,trunk_peak_dps,몸통 피크 각속도 (XZ),6,5,1325.8621027930851,1287.8733273938903,37.988775399194765,0.26630615361683546,0.6623376623376623,0.6760920083658535
Leiter,Starter,SO,Walk,hip_3d_dps,골반 피크 각속도 (3D),6,5,852.687909329261,871.6912564490925,-19.003347119831574,-0.11175346811791338,0.42857142857142855,0.8514595570564631
Leiter,Starter,SO,Walk,trunk_3d_dps,몸통 피크 각속도 (3D),6,5,1346.4065666479996,1305.3098141431713,41.09675250482837,0.2971088907489815,0.6623376623376623,0.6458550399909214
Leiter,Starter,SO,Walk,trunk_hip_ratio,몸통/골반 각속도 비,6,5,1.6160313692347457,1.5141108417123852,0.10192052752236047,0.3992336118842538,0.6623376623376623,0.5395601766884411
Leiter,Starter,SO,Walk,timing_diff_ms,타이밍 차 몸통-골반 (ms),6,5,-13.950895853871264,-10.025108064323751,-3.9257877895475133,-0.4938935412269498,0.4984039238004653,0.45298101174568867
Leiter,Starter,SO,Walk,hss_at_fp_deg,HSS @ FP (°),6,5,24.786654518703966,18.328400502148703,6.458254016555262,0.3156182025233399,0.5367965367965368,0.6147686271388125
Leiter,Starter,SO,Walk,hss_max_deg,HSS max (°),6,5,52.21738071426619,51.99337920051045,0.22400151375574495,0.01855039492158813,1.0,0.9765183666099637
Webb,Starter,SO,Walk,hip_peak_dps,골반 피크 각속도 (XZ),7,5,546.9180574016992,760.9688720966321,-214.0508146949329,-1.6795673514578882,0.030303030303030304,0.03425469411737942
Webb,Starter,SO,Walk,trunk_peak_dps,몸통 피크 각속도 (XZ),7,5,1338.5155201943055,1116.8348144826734,221.68070571163207,1.695293313939953,0.030303030303030304,0.027186172977073993
Webb,Starter,SO,Walk,hip_3d_dps,골반 피크 각속도 (3D),7,5,555.4258398390053,777.2298478443012,-221.80400800529583,-1.7219548765160795,0.030303030303030304,0.029047608584697786
Webb,Starter,SO,Walk,trunk_3d_dps,몸통 피크 각속도 (3D),7,5,1376.5051684629595,1133.6410562355643,242.86411222739525,1.920402171806442,0.010101010101010102,0.01722493541306167
Webb,Starter,SO,Walk,trunk_hip_ratio,몸통/골반 각속도 비,7,5,2.506496628650254,1.4895651817007323,1.0169314469495216,3.050390438911943,0.005050505050505051,0.000225880910268759
Webb,Starter,SO,Walk,timing_diff_ms,타이밍 차 몸통-골반 (ms),7,5,-4.7594927112999414,6.677241241018313,-11.436733952318255,-1.0066212442432423,0.18998216270168589,0.09886171648109411
Webb,Starter,SO,Walk,hss_at_fp_deg,HSS @ FP (°),7,5,23.04615381652037,11.373229177132368,11.672924639388002,2.1556761061181633,0.005050505050505051,0.008400222903167606
Webb,Starter,SO,Walk,hss_max_deg,HSS max (°),7,5,65.73482466248446,57.332103911082285,8.402720751402171,0.7439805990255232,0.10606060606060606,0.18145529012333528
Armstrong,Relief,SV,BS,hip_peak_dps,골반 피크 각속도 (XZ),3,3,583.4963588264255,712.0508940537417,-128.55453522731614,-0.9990557791661806,0.7,0.3184397842575743
Armstrong,Relief,SV,BS,trunk_peak_dps,몸통 피크 각속도 (XZ),3,3,1407.248517737491,1218.3099303482543,188.93858738923677,0.5612156539422365,0.7,0.5376397136991763
Armstrong,Relief,SV,BS,hip_3d_dps,골반 피크 각속도 (3D),3,3,592.2058138099595,726.54539442859,-134.33958061863052,-1.0837024767945698,0.7,0.28657275044781527
Armstrong,Relief,SV,BS,trunk_3d_dps,몸통 피크 각속도 (3D),3,3,1434.1521720115861,1250.2336330769206,183.91853893466555,0.5348994506778165,0.7,0.5547924316548764
Armstrong,Relief,SV,BS,trunk_hip_ratio,몸통/골반 각속도 비,3,3,2.4851192120374743,1.8529359081737546,0.6321833038637197,0.6897192122115471,0.2,0.44587167381246007
Armstrong,Relief,SV,BS,timing_diff_ms,타이밍 차 몸통-골반 (ms),3,3,-16.78467626156341,-5.561116672227784,-11.223559589335625,-1.6477535302547093,0.11568802229950938,0.18102936935490507
Armstrong,Relief,SV,BS,hss_at_fp_deg,HSS @ FP (°),3,3,14.702090772553737,6.577867498806499,8.124223273747237,0.8789318164685128,0.4,0.3423852420161095
Armstrong,Relief,SV,BS,hss_max_deg,HSS max (°),3,3,56.62829320696833,40.74879657084795,15.879496636120379,1.8194223265873803,0.2,0.15034708597984578
Garcia,Relief,SV,BS,hip_peak_dps,골반 피크 각속도 (XZ),5,3,609.4436605591213,589.2986658911215,20.144994667999867,0.34113116265026017,0.7857142857142857,0.6614962668666932
Garcia,Relief,SV,BS,trunk_peak_dps,몸통 피크 각속도 (XZ),5,3,1171.093209870118,1105.883534584851,65.20967528526694,0.8872048163567078,0.25,0.38430770738829423
Garcia,Relief,SV,BS,hip_3d_dps,골반 피크 각속도 (3D),5,3,617.0219806011927,609.6981682768112,7.3238123243814925,0.12745364765420356,0.7857142857142857,0.8723227011515214
Garcia,Relief,SV,BS,trunk_3d_dps,몸통 피크 각속도 (3D),5,3,1194.056646625452,1136.5224281012586,57.53421852419342,0.744178139087211,0.5714285714285714,0.45240580883417536
Garcia,Relief,SV,BS,trunk_hip_ratio,몸통/골반 각속도 비,5,3,1.9316561763918216,1.8777290267870663,0.05392714960475531,0.47233220471418663,1.0,0.4391552778396069
Garcia,Relief,SV,BS,timing_diff_ms,타이밍 차 몸통-골반 (ms),5,3,6.673340006673341,5.561116672227784,1.1122233344455568,0.11952286093343935,1.0,0.8795250591201281
Garcia,Relief,SV,BS,hss_at_fp_deg,HSS @ FP (°),5,3,21.698307624877188,18.56865862907024,3.1296489958069493,0.4203763479331912,0.7857142857142857,0.6825686401731204
Garcia,Relief,SV,BS,hss_max_deg,HSS max (°),5,3,31.271987666419818,34.760521242131965,-3.4885335757121467,-0.6173034530868018,1.0,0.5753323154111011
Jackson,Relief,SV,BS,hip_peak_dps,골반 피크 각속도 (XZ),3,4,509.6250250033361,556.4572548805199,-46.83222987718386,-0.4020323432355635,0.8571428571428571,0.5819186969110375
Jackson,Relief,SV,BS,trunk_peak_dps,몸통 피크 각속도 (XZ),3,4,1049.2340039411945,1035.3227039738504,13.91129996734412,0.049698369401706695,1.0,0.9541116120770776
Jackson,Relief,SV,BS,hip_3d_dps,골반 피크 각속도 (3D),3,4,532.0012387526552,571.9543219255236,-39.95308317286833,-0.3321890063030918,0.8571428571428571,0.648742904560701
Jackson,Relief,SV,BS,trunk_3d_dps,몸통 피크 각속도 (3D),3,4,1165.2910321699767,1141.3139528614163,23.977079308560405,0.09155738735825474,1.0,0.9157884551193786
Jackson,Relief,SV,BS,trunk_hip_ratio,몸통/골반 각속도 비,3,4,2.084665000100261,1.9767850967524896,0.10787990334777131,0.14900107707086443,1.0,0.8527070627223966
Jackson,Relief,SV,BS,timing_diff_ms,타이밍 차 몸통-골반 (ms),3,4,-5.569479253689781,-8.445945945945946,2.876466692256165,0.19924385607253425,1.0,0.787992100410524
Jackson,Relief,SV,BS,hss_at_fp_deg,HSS @ FP (°),3,4,18.844800788847852,9.781526581677532,9.06327420717032,1.0382254673493891,0.4,0.20350619637172704
Jackson,Relief,SV,BS,hss_max_deg,HSS max (°),3,4,57.67231721949779,46.85974369897836,10.812573520519429,0.8515648889074894,0.22857142857142856,0.32528780201180263
