player,role,situation_a,situation_b,metric,label,n_a,n_b,a_mean,b_mean,diff,cohens_d,u_p,t_p
Leiter,Starter,SO,Walk,hip_peak_dps,골반 피크 각속도 (XZ),5,4,660.3977301790292,607.0209870971291,53.37674308190003,0.31226300848574584,0.9047619047619049,0.6262620913461944
Leiter,Starter,SO,Walk,trunk_peak_dps,몸통 피크 각속도 (XZ),5,4,1364.1307148049964,1153.2204237532044,210.910291051792,0.5621497048927715,0.5555555555555556,0.4080413340914347
Leiter,Starter,SO,Walk,hip_3d_dps,골반 피크 각속도 (3D),5,4,663.9141252232986,613.6813069051451,50.23281831815348,0.27325164457264317,0.9047619047619049,0.668789156660186
Leiter,Starter,SO,Walk,trunk_3d_dps,몸통 피크 각속도 (3D),5,4,1285.8993692049269,1131.727231340767,154.17213786415982,0.5050652107679025,0.5555555555555556,0.46201158020104444
Leiter,Starter,SO,Walk,trunk_hip_ratio,몸통/골반 각속도 비,5,4,2.096400343409184,1.9034768981592154,0.1929234452499684,0.5000593976553853,0.7301587301587302,0.508912602518985
Leiter,Starter,SO,Walk,timing_diff_ms,타이밍 차 몸통-골반 (ms),5,4,-73.40896748996437,-50.25288713231976,-23.156080357644605,-0.3005432382927416,0.6167690999347494,0.6394654435986448
Leiter,Starter,SO,Walk,hss_at_fp_deg,HSS @ FP (°),5,4,7.875587241896591,9.45825348310788,-1.5826662412112888,-0.20797460358647113,0.7301587301587302,0.7574753657096311
Leiter,Starter,SO,Walk,hss_max_deg,HSS max (°),5,4,54.80561410021433,42.98130107588324,11.82431302433109,0.7140678158055999,0.2857142857142857,0.29988305075824434
Webb,Starter,SO,Walk,hip_peak_dps,골반 피크 각속도 (XZ),6,5,460.33027018841057,539.6160405524528,-79.28577036404221,-1.202992228931314,0.12554112554112554,0.07189333963677068
Webb,Starter,SO,Walk,trunk_peak_dps,몸통 피크 각속도 (XZ),6,5,866.3946322494743,688.8391073205119,177.55552492896243,1.6989829734572293,0.030303030303030304,0.017800807241480178
Webb,Starter,SO,Walk,hip_3d_dps,골반 피크 각속도 (3D),6,5,433.355950376036,548.4920953129016,-115.1361449368656,-2.099466041812683,0.008658008658008658,0.007277993880491549
Webb,Starter,SO,Walk,trunk_3d_dps,몸통 피크 각속도 (3D),6,5,834.5590524073164,706.8123508414767,127.74670156583966,1.6519617350369407,0.05194805194805195,0.02265491496206673
Webb,Starter,SO,Walk,trunk_hip_ratio,몸통/골반 각속도 비,6,5,1.9400358760434717,1.2794620500975848,0.6605738259458869,1.8546685424986251,0.030303030303030304,0.014709950553420855
Webb,Starter,SO,Walk,timing_diff_ms,타이밍 차 몸통-골반 (ms),6,5,-239.5596120153243,-244.01481377303966,4.455201757715372,0.12665784349644807,0.854805435691019,0.830300870738626
Webb,Starter,SO,Walk,hss_at_fp_deg,HSS @ FP (°),6,5,23.162499983605134,10.60359269875814,12.558907284846994,3.210540898204545,0.004329004329004329,0.002698639120555393
Webb,Starter,SO,Walk,hss_max_deg,HSS max (°),6,5,48.45055282550826,61.328257378273506,-12.877704552765245,-2.1572439718527945,0.017316017316017316,0.005312116355165109
Armstrong,Relief,SV,BS,hip_peak_dps,골반 피크 각속도 (XZ),3,3,594.9014357551815,598.0400041725337,-3.1385684173521895,-0.04163142576283972,1.0,0.9625779988860375
Armstrong,Relief,SV,BS,trunk_peak_dps,몸통 피크 각속도 (XZ),3,3,878.5369129137189,826.3931053480939,52.143807565625025,0.9145635769495444,0.4,0.33080693123752375
Armstrong,Relief,SV,BS,hip_3d_dps,골반 피크 각속도 (3D),3,3,553.3371690890348,573.3265849715757,-19.989415882540925,-0.46801100857979044,0.7,0.6194308732476312
Armstrong,Relief,SV,BS,trunk_3d_dps,몸통 피크 각속도 (3D),3,3,911.164868464521,857.7498336615566,53.41503480296433,0.8962900993198805,0.4,0.33443975260265807
Armstrong,Relief,SV,BS,trunk_hip_ratio,몸통/골반 각속도 비,3,3,1.5135273066260535,1.3915351959401965,0.12199211068585702,0.4299990814416372,1.0,0.6326252832906392
Armstrong,Relief,SV,BS,timing_diff_ms,타이밍 차 몸통-골반 (ms),3,3,-122.80514418287606,-61.18530273119645,-61.61984145167961,-0.8759890078694899,0.2,0.3459746096979994
Armstrong,Relief,SV,BS,hss_at_fp_deg,HSS @ FP (°),3,3,7.085253294703835,12.833978238584436,-5.7487249438806005,-1.0590360208899334,0.2,0.32021896235790237
Armstrong,Relief,SV,BS,hss_max_deg,HSS max (°),3,3,34.41557750316208,26.734449576157846,7.681127927004237,0.7303608915612514,0.4,0.42553290401329674
Garcia,Relief,SV,BS,hip_peak_dps,골반 피크 각속도 (XZ),5,3,480.4934705801279,503.79929266387603,-23.305822083748126,-0.7556027921430597,0.7857142857142857,0.5053007361951705
Garcia,Relief,SV,BS,trunk_peak_dps,몸통 피크 각속도 (XZ),5,3,845.0163557839711,881.8613058513861,-36.84495006741497,-0.5270480871732882,0.7857142857142857,0.439451572744285
