model,metric,mean,std,cv_pct,n_trials
MotionBERT,hip_peak_dps,281.7471740496457,95.56293126729364,33.91797329986878,4
MotionBERT,trunk_peak_dps,632.013030444458,67.05798019168648,10.610221144416677,4
MotionBERT,trunk_hip_ratio,2.381788712044563,0.5650446780339579,23.723543367913397,4
MotionBERT,hss_at_fp_deg,11.500966646002055,6.652966663417146,57.847021630393456,4
MotionBERT,hss_max_deg,38.17688621716641,7.487988791175597,19.613932756539448,4
MotionBERT,hip_3d_dps,273.91991150549427,42.817813840781746,15.63150835054315,4
MotionBERT,trunk_3d_dps,776.8767169312696,57.35834579181154,7.383197943990647,4
MotionAGFormer,hip_peak_dps,556.4572548805199,143.94134575367005,25.86745783098407,4
MotionAGFormer,trunk_peak_dps,1035.3227039738504,240.74778192408604,23.253405049462405,4
MotionAGFormer,trunk_hip_ratio,1.9767850967524896,0.7355485972461764,37.20933542318552,4
MotionAGFormer,hss_at_fp_deg,9.781526581677532,10.053304478594264,102.77848140213428,4
MotionAGFormer,hss_max_deg,46.85974369897836,12.510783882617966,26.698361738779052,4
MotionAGFormer,hip_3d_dps,571.9543219255236,146.93140494821566,25.68936002678692,4
MotionAGFormer,trunk_3d_dps,1141.3139528614163,224.08114491477255,19.633611273477662,4
